id,NumDots,SubdomainLevel,PathLevel,UrlLength,NumDash,NumDashInHostname,AtSymbol,TildeSymbol,NumUnderscore,NumPercent,NumQueryComponents,NumAmpersand,NumHash,NumNumericChars,NoHttps,RandomString,IpAddress,DomainInSubdomains,DomainInPaths,HttpsInHostname,HostnameLength,PathLength,QueryLength,DoubleSlashInPath,NumSensitiveWords,EmbeddedBrandName,PctExtHyperlinks,PctExtResourceUrls,ExtFavicon,InsecureForms,RelativeFormAction,ExtFormAction,AbnormalFormAction,PctNullSelfRedirectHyperlinks,FrequentDomainNameMismatch,FakeLinkInStatusBar,RightClickDisabled,PopUpWindow,SubmitInfoToEmail,IframeOrFrame,MissingTitle,ImagesOnlyInForm,SubdomainLevelRT,UrlLengthRT,PctExtResourceUrlsRT,AbnormalExtFormActionR,ExtMetaScriptLinkRT,PctExtNullSelfRedirectHyperlinksRT,CLASS_LABEL
2463,2,1,5,90,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,16,75,0,0,1,0,0.0,0.9970732212,1,1,0,0,0,0.0018340092,1,0,0,0,0,0,0,0,1,-1,-1,1,-1,-1,1
1139,1,0,5,59,0,0,0,0,1,0,0,0,0,4,1,1,0,0,1,0,11,20,0,0,1,0,0.0,0.2937327258,0,1,1,0,0,0.0005827407,0,0,0,0,0,0,0,0,1,0,1,-1,0,1,0
226,7,1,7,241,0,0,0,0,2,0,3,13,0,50,1,1,0,0,1,0,11,69,157,0,1,0,0.0,0.0,1,1,1,0,0,0.0,1,0,0,0,0,0,0,0,1,-1,1,1,0,1,1
464,1,0,4,48,4,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,17,35,0,0,0,0,0.0341659814,0.0142191332,1,1,1,0,0,0.0023830004,0,0,0,0,0,0,0,0,1,-1,-1,1,1,-1,1
9282,2,1,3,64,0,0,0,0,1,0,0,0,0,4,1,1,0,0,0,0,16,23,0,0,0,0,0.0,0.8261149256,0,1,0,0,1,0.0002241953,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0
9482,3,0,4,91,0,0,0,0,0,0,0,0,0,5,1,1,0,0,1,0,26,83,0,0,0,0,0.2969529592,0.1466904657,0,1,1,0,0,0.0348740376,0,0,1,0,0,1,0,0,1,-1,1,-1,0,1,0
141,1,0,3,45,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,20,133,0,0,0,0.2792411187,0.9914516037,0,1,0,0,0,0.0,1,0,0,0,0,1,0,0,1,1,-1,0,-1,1,0
9474,2,1,1,72,5,0,0,0,0,0,0,0,0,7,1,1,0,0,1,0,11,87,0,0,0,0,0.103094849,0.3730040491,0,0,0,0,0,0.027042419,0,0,0,0,0,1,0,0,1,-1,0,0,0,1,0
9107,3,0,0,47,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,4,0,0,0,0,0.28375145,0.3061489898,0,1,0,0,0,0.0331645153,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0
7236,5,0,5,114,2,0,0,0,0,0,1,2,0,5,1,1,0,0,1,0,17,84,0,0,0,0,0.0074560689,0.2765159907,1,1,1,0,0,0.0,0,0,0,0,0,1,0,0,1,-1,1,1,0,1,0
640,4,5,8,104,1,0,0,0,8,0,0,0,0,8,1,1,0,0,0,0,10,69,0,0,1,0,0.0,0.0,0,1,1,0,0,0.0,0,0,0,0,0,0,0,0,1,-1,1,1,1,1,1
573,2,0,2,212,0,0,0,0,2,0,7,2,0,14,1,1,0,0,0,0,19,15,86,0,1,0,0.0,0.0008617103,1,1,0,0,0,0.0,1,0,0,0,0,1,0,0,1,-1,1,1,-1,1,1
218,2,0,2,47,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,11,35,0,0,0,0,0.7759910711,0.0103237432,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,1,1,1,-1,1,1
