NumDots,SubdomainLevel,PathLevel,UrlLength,NumDash,NumDashInHostname,AtSymbol,TildeSymbol,NumUnderscore,NumPercent,NumQueryComponents,NumAmpersand,NumHash,NumNumericChars,NoHttps,RandomString,IpAddress,DomainInSubdomains,DomainInPaths,HostnameLength,PathLength,QueryLength,DoubleSlashInPath,NumSensitiveWords,EmbeddedBrandName,PctExtHyperlinks,PctExtResourceUrls,ExtFavicon,InsecureForms,RelativeFormAction,ExtFormAction,AbnormalFormAction,PctNullSelfRedirectHyperlinks,FrequentDomainNameMismatch,FakeLinkInStatusBar,RightClickDisabled,PopUpWindow,SubmitInfoToEmail,IframeOrFrame,MissingTitle,ImagesOnlyInForm,SubdomainLevelRT,UrlLengthRT,PctExtResourceUrlsRT,AbnormalExtFormActionR,ExtMetaScriptLinkRT,PctExtNullSelfRedirectHyperlinksRT,CLASS_LABEL
7,9,2,245,0,3,0,0,6,6,19,17,0,4,0,0,0,0,0,88,102,57,0,1,0,0.7101633217070309,0.05153859522595028,0,0,0,0,0,0.6760884284415842,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,1
15,11,7,137,41,2,0,0,10,0,8,7,0,15,0,0,0,0,0,101,70,124,0,1,0,0.8920961399998395,0.9771852137507052,0,0,0,0,0,0.9208772407131848,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,1
5,7,0,224,17,2,0,0,7,16,3,1,0,94,0,0,0,0,0,9,67,97,0,1,0,0.6500413970346283,0.8859182688643495,0,0,0,0,0,0.8986156475001308,0,0,0,0,0,0,0,0,-1,0,-1,-1,-1,-1,1
19,3,14,155,47,2,0,0,5,4,10,18,0,4,0,0,0,0,0,35,16,128,0,1,0,0.9102873348274706,0.865838703555143,0,0,0,0,0,0.9398722535349219,0,0,0,0,0,0,0,0,0,-1,0,-1,0,-1,1
1,0,4,97,49,4,0,0,11,12,22,20,0,110,0,0,0,0,0,20,47,106,0,2,0,0.4156214936268565,0.7661938119864017,0,0,0,0,0,0.704885963421495,0,0,0,0,0,0,0,0,-1,-1,0,-1,0,-1,1
2,13,6,79,15,8,0,0,12,17,8,4,0,109,0,0,0,0,0,107,111,155,0,0,0,0.7812676521998065,0.5656880522901208,0,0,0,0,0,0.27824238411177604,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0
9,0,4,53,49,8,0,0,0,10,7,1,0,29,0,0,0,0,0,34,83,27,0,1,0,0.7953553876887345,0.02983653528384489,0,0,0,0,0,0.1418824270120127,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0
8,4,0,237,37,5,0,0,8,18,5,1,0,3,0,0,0,0,0,79,24,83,0,2,0,0.0799143724514082,0.5747341529007374,0,0,0,0,0,0.12361749819657541,0,0,0,0,0,0,0,0,0,-1,0,0,-1,-1,0
19,12,6,149,5,1,0,0,0,15,12,9,0,60,0,0,0,0,0,55,29,97,0,1,0,0.46902988158458836,0.3390662543310592,0,0,0,0,0,0.11434860057094387,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0
10,8,5,100,20,6,0,0,9,17,11,21,0,12,0,0,0,0,0,100,21,62,0,2,0,0.32859558515500165,0.7678157881491366,0,0,0,0,0,0.9072132329218494,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,1
2,12,13,173,3,3,0,0,13,6,9,17,0,1,0,0,0,0,0,53,31,180,0,1,0,0.801845194601456,0.6515952557596644,0,0,0,0,0,0.7262982028325401,0,0,0,0,0,0,0,0,-1,0,0,-1,-1,-1,1
20,9,9,190,14,1,0,0,7,2,4,15,0,2,0,0,0,0,0,87,69,123,0,2,0,0.3419346363546891,0.23797372220969193,0,0,0,0,0,0.9818777136545132,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,1
8,11,17,117,44,6,0,0,1,5,9,17,0,38,0,0,0,0,0,131,114,60,0,1,0,0.8713265634717037,0.0038864412286983008,0,0,0,0,0,0.8107654918661585,0,0,0,0,0,0,0,0,-1,0,-1,-1,-1,-1,1
2,10,16,87,30,2,0,0,0,18,21,2,0,0,0,0,0,0,0,107,148,39,0,0,0,0.6389677156845276,0.8142241904491212,0,0,0,0,0,0.6902507743285059,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1
14,2,4,165,28,8,0,0,6,14,19,2,0,45,0,0,0,0,0,85,23,103,0,1,0,0.7781510392058907,0.8945874294012898,0,0,0,0,0,0.8523217180762072,0,0,0,0,0,0,0,0,-1,0,-1,0,0,-1,1
18,1,0,46,54,3,0,0,7,6,0,6,0,102,0,0,0,0,0,115,101,116,0,0,0,0.20889032721045087,0.3207815936794097,0,0,0,0,0,0.789721815746727,0,0,0,0,0,0,0,0,0,-1,0,-1,-1,-1,0
7,7,5,74,30,8,0,0,15,10,14,4,0,101,0,0,0,0,0,76,95,172,0,1,0,0.46250161343562146,0.02672391594441681,0,0,0,0,0,0.896941451921261,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,1
19,5,16,222,3,2,0,0,14,7,10,12,0,107,0,0,0,0,0,29,16,82,0,2,0,0.31850348457414446,0.32283708551171564,0,0,0,0,0,0.5258892891307041,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,1
12,7,14,241,39,8,0,0,14,8,2,14,0,49,0,0,0,0,0,23,91,42,0,2,0,0.7322780018836942,0.14836014548016785,0,0,0,0,0,0.10912748368996628,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,-1,0
12,10,14,199,14,4,0,0,4,7,13,16,0,2,0,0,0,0,0,109,141,111,0,0,0,0.9174304254790989,0.5305315019854069,0,0,0,0,0,0.04180752982064195,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0
3,13,14,36,26,4,0,0,2,12,18,9,0,32,0,0,0,0,0,72,100,153,0,2,0,0.20883079339851118,0.029014547852774575,0,0,0,0,0,0.44712886618114644,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0
16,2,4,212,13,5,0,0,10,8,11,20,0,1,0,0,0,0,0,22,24,50,0,2,0,0.8731470338673677,0.47489590845141394,0,0,0,0,0,0.6187414851288554,0,0,0,0,0,0,0,0,0,-1,-1,0,0,-1,1
20,3,1,176,36,6,0,0,6,17,13,18,0,99,0,0,0,0,0,135,112,111,0,2,0,0.32146769011647613,0.7360228493998991,0,0,0,0,0,0.47818957843498633,0,0,0,0,0,0,0,0,-1,0,-1,-1,-1,0,0
16,3,2,45,33,6,0,0,6,6,18,1,0,71,0,0,0,0,0,42,137,162,0,2,0,0.6400288318076222,0.002000802707505911,0,0,0,0,0,0.5412949994719981,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0
9,4,8,21,38,3,0,0,4,2,2,6,0,25,0,0,0,0,0,64,106,26,0,1,0,0.9557253438807267,0.2839202938722106,0,0,0,0,0,0.438089676024095,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0
